round_num,start,freeze_end,end,official_end,winner,reason,bomb_plant,bomb_site
1,1,1274,3874,4194,t,ct_killed,3670,bombsite_b
2,4194,5474,8256,8576,t,ct_killed,,not_planted
3,8576,9856,18932,19252,t,bomb_exploded,16308,bombsite_b
4,19252,20532,28073,28393,t,ct_killed,26564,bombsite_b
5,28393,32185,38076,38396,t,ct_killed,,not_planted
6,38396,39676,48488,48808,ct,bomb_defused,46595,bombsite_b
7,48808,50088,56660,56980,ct,t_killed,,not_planted
8,56980,58260,60558,60878,ct,t_killed,,not_planted
9,60878,64281,71641,71961,ct,time_ran_out,,not_planted
10,71961,73241,77341,77661,ct,t_killed,,not_planted
11,77661,78941,83375,83695,t,ct_killed,81392,bombsite_b
12,83695,84975,92335,92880,ct,time_ran_out,,not_planted
13,92880,111060,118398,118718,t,ct_killed,116730,bombsite_b
14,118718,119998,127253,127573,t,bomb_exploded,124629,bombsite_b
15,127573,128853,138082,138402,t,bomb_exploded,135458,bombsite_b
16,138402,139682,146607,146927,ct,t_killed,,not_planted
17,146927,148207,155567,155887,ct,time_ran_out,,not_planted
18,155887,157167,160817,161137,ct,t_killed,,not_planted
19,161137,164363,166476,166796,ct,t_killed,,not_planted
20,166796,168076,174598,174918,t,ct_killed,,not_planted
21,174918,176198,183558,183878,ct,time_ran_out,,not_planted
22,183878,187421,194085,194405,ct,t_killed,,not_planted
23,194405,198289,203220,203220,ct,t_killed,,not_planted
