BACK,RIGHT,FORWARD,LEFT,tick,steamid,name
False,False,False,True,11776,76561197960690195,FalleN
False,False,False,True,11777,76561197960690195,FalleN
False,False,False,True,11778,76561197960690195,FalleN
False,False,False,True,11779,76561197960690195,FalleN
False,False,False,True,11780,76561197960690195,FalleN
False,False,False,True,11781,76561197960690195,FalleN
False,False,False,True,11782,76561197960690195,FalleN
False,False,False,True,11783,76561197960690195,FalleN
False,False,False,True,11784,76561197960690195,FalleN
False,False,False,True,11785,76561197960690195,FalleN
False,False,False,True,11786,76561197960690195,FalleN
False,False,False,True,11787,76561197960690195,FalleN
False,True,False,True,11788,76561197960690195,FalleN
False,True,False,True,11789,76561197960690195,FalleN
False,True,False,True,11790,76561197960690195,FalleN
False,True,False,False,11791,76561197960690195,FalleN
False,True,False,False,11792,76561197960690195,FalleN
False,True,False,False,11793,76561197960690195,FalleN
False,True,False,False,11794,76561197960690195,FalleN
False,True,False,False,11795,76561197960690195,FalleN
False,True,False,False,11796,76561197960690195,FalleN
False,True,False,False,11797,76561197960690195,FalleN
False,True,False,False,11798,76561197960690195,FalleN
False,True,False,False,11799,76561197960690195,FalleN
False,True,False,False,11800,76561197960690195,FalleN
False,True,False,False,11801,76561197960690195,FalleN
False,True,False,False,11802,76561197960690195,FalleN
False,True,False,False,11803,76561197960690195,FalleN
False,True,False,False,11804,76561197960690195,FalleN
False,True,False,False,11805,76561197960690195,FalleN
False,True,False,True,11806,76561197960690195,FalleN
False,True,False,True,11807,76561197960690195,FalleN
False,True,False,True,11808,76561197960690195,FalleN
False,True,False,True,11809,76561197960690195,FalleN
False,False,False,True,11810,76561197960690195,FalleN
False,False,False,True,11811,76561197960690195,FalleN
False,False,False,False,11812,76561197960690195,FalleN
False,False,False,False,11813,76561197960690195,FalleN
False,False,False,False,11814,76561197960690195,FalleN
False,False,False,False,11815,76561197960690195,FalleN
False,False,False,False,11816,76561197960690195,FalleN
False,False,False,True,11817,76561197960690195,FalleN
False,False,False,True,11818,76561197960690195,FalleN
False,False,False,True,11819,76561197960690195,FalleN
False,False,False,True,11820,76561197960690195,FalleN
