BACK,RIGHT,FORWARD,LEFT,tick,steamid,name
False,False,True,False,59532,76561198058500492,KSCERATO
False,False,True,False,59533,76561198058500492,KSCERATO
False,False,True,False,59534,76561198058500492,KSCERATO
False,False,True,False,59535,76561198058500492,KSCERATO
False,False,True,False,59536,76561198058500492,KSCERATO
False,False,True,False,59537,76561198058500492,KSCERATO
False,False,True,False,59538,76561198058500492,KSCERATO
False,False,True,False,59539,76561198058500492,KSCERATO
False,False,True,False,59540,76561198058500492,KSCERATO
False,False,True,False,59541,76561198058500492,KSCERATO
False,False,True,False,59542,76561198058500492,KSCERATO
False,False,True,False,59543,76561198058500492,KSCERATO
False,False,True,False,59544,76561198058500492,KSCERATO
False,False,True,False,59545,76561198058500492,KSCERATO
False,False,True,False,59546,76561198058500492,KSCERATO
False,False,True,False,59547,76561198058500492,KSCERATO
False,False,True,False,59548,76561198058500492,KSCERATO
False,False,True,False,59549,76561198058500492,KSCERATO
False,False,True,False,59550,76561198058500492,KSCERATO
False,False,True,False,59551,76561198058500492,KSCERATO
False,False,True,False,59552,76561198058500492,KSCERATO
False,False,True,False,59553,76561198058500492,KSCERATO
False,False,True,False,59554,76561198058500492,KSCERATO
False,False,True,False,59555,76561198058500492,KSCERATO
False,False,True,False,59556,76561198058500492,KSCERATO
False,False,True,False,59557,76561198058500492,KSCERATO
False,False,True,False,59558,76561198058500492,KSCERATO
False,False,True,False,59559,76561198058500492,KSCERATO
False,False,True,False,59560,76561198058500492,KSCERATO
False,False,True,False,59561,76561198058500492,KSCERATO
False,False,True,False,59562,76561198058500492,KSCERATO
False,False,True,False,59563,76561198058500492,KSCERATO
False,False,True,False,59564,76561198058500492,KSCERATO
False,False,True,False,59565,76561198058500492,KSCERATO
False,False,True,False,59566,76561198058500492,KSCERATO
False,False,True,False,59567,76561198058500492,KSCERATO
False,False,True,False,59568,76561198058500492,KSCERATO
False,False,True,False,59569,76561198058500492,KSCERATO
False,False,True,False,59570,76561198058500492,KSCERATO
False,False,True,False,59571,76561198058500492,KSCERATO
False,False,True,False,59572,76561198058500492,KSCERATO
False,False,True,False,59573,76561198058500492,KSCERATO
False,False,True,False,59574,76561198058500492,KSCERATO
False,False,True,False,59575,76561198058500492,KSCERATO
False,False,True,False,59576,76561198058500492,KSCERATO
False,False,True,False,59577,76561198058500492,KSCERATO
False,False,True,False,59578,76561198058500492,KSCERATO
False,False,True,False,59579,76561198058500492,KSCERATO
False,False,True,False,59580,76561198058500492,KSCERATO
False,False,True,False,59581,76561198058500492,KSCERATO
False,False,True,False,59582,76561198058500492,KSCERATO
False,False,True,False,59583,76561198058500492,KSCERATO
False,False,True,False,59584,76561198058500492,KSCERATO
False,False,True,False,59585,76561198058500492,KSCERATO
False,False,True,False,59586,76561198058500492,KSCERATO
False,False,True,False,59587,76561198058500492,KSCERATO
False,False,True,False,59588,76561198058500492,KSCERATO
False,False,True,False,59589,76561198058500492,KSCERATO
False,False,True,False,59590,76561198058500492,KSCERATO
False,True,True,False,59591,76561198058500492,KSCERATO
False,True,True,False,59592,76561198058500492,KSCERATO
False,True,True,False,59593,76561198058500492,KSCERATO
False,True,True,False,59594,76561198058500492,KSCERATO
False,True,True,False,59595,76561198058500492,KSCERATO
False,False,True,False,59596,76561198058500492,KSCERATO
False,False,True,False,59597,76561198058500492,KSCERATO
False,False,True,False,59598,76561198058500492,KSCERATO
False,False,True,False,59599,76561198058500492,KSCERATO
False,False,True,False,59600,76561198058500492,KSCERATO
False,False,True,False,59601,76561198058500492,KSCERATO
False,False,True,False,59602,76561198058500492,KSCERATO
False,False,True,False,59603,76561198058500492,KSCERATO
False,False,True,False,59604,76561198058500492,KSCERATO
False,False,True,False,59605,76561198058500492,KSCERATO
False,False,True,False,59606,76561198058500492,KSCERATO
False,False,True,False,59607,76561198058500492,KSCERATO
False,False,True,False,59608,76561198058500492,KSCERATO
False,False,True,False,59609,76561198058500492,KSCERATO
False,False,True,False,59610,76561198058500492,KSCERATO
False,False,True,False,59611,76561198058500492,KSCERATO
False,False,True,False,59612,76561198058500492,KSCERATO
False,False,False,True,59613,76561198058500492,KSCERATO
False,False,False,True,59614,76561198058500492,KSCERATO
False,False,False,True,59615,76561198058500492,KSCERATO
False,False,False,True,59616,76561198058500492,KSCERATO
False,False,False,True,59617,76561198058500492,KSCERATO
False,False,False,True,59618,76561198058500492,KSCERATO
False,False,False,True,59619,76561198058500492,KSCERATO
