FIRE,pitch,yaw,tick,steamid,name
False,4.5098877,-136.52504,91918,76561198058500492,KSCERATO
False,4.5098877,-138.86273,91919,76561198058500492,KSCERATO
False,4.5373535,-141.06274,91920,76561198058500492,KSCERATO
False,4.592285,-142.85007,91921,76561198058500492,KSCERATO
False,4.702484,-144.39023,91922,76561198058500492,KSCERATO
False,4.8123474,-145.49023,91923,76561198058500492,KSCERATO
False,4.895096,-146.20537,91924,76561198058500492,KSCERATO
False,4.9774933,-146.48003,91925,76561198058500492,KSCERATO
False,5.004959,-146.53531,91926,76561198058500492,KSCERATO
False,5.004959,-146.56277,91927,76561198058500492,KSCERATO
False,5.004959,-146.56277,91928,76561198058500492,KSCERATO
False,5.004959,-146.56277,91929,76561198058500492,KSCERATO
False,5.004959,-146.56277,91930,76561198058500492,KSCERATO
False,5.004959,-146.56277,91931,76561198058500492,KSCERATO
False,5.004959,-146.56277,91932,76561198058500492,KSCERATO
False,5.004959,-146.56277,91933,76561198058500492,KSCERATO
False,5.004959,-146.56277,91934,76561198058500492,KSCERATO
False,4.9774933,-146.64517,91935,76561198058500492,KSCERATO
False,4.9774933,-147.03003,91936,76561198058500492,KSCERATO
False,5.004959,-147.8825,91937,76561198058500492,KSCERATO
False,5.032425,-149.23004,91938,76561198058500492,KSCERATO
False,5.0598907,-150.85258,91939,76561198058500492,KSCERATO
False,5.032425,-152.83252,91940,76561198058500492,KSCERATO
False,4.9774933,-154.8952,91941,76561198058500492,KSCERATO
False,4.9225616,-156.98502,91942,76561198058500492,KSCERATO
False,4.86763,-158.9653,91943,76561198058500492,KSCERATO
False,4.86763,-160.67024,91944,76561198058500492,KSCERATO
False,4.839813,-162.21005,91945,76561198058500492,KSCERATO
False,4.839813,-163.55759,91946,76561198058500492,KSCERATO
False,4.839813,-164.6576,91947,76561198058500492,KSCERATO
False,4.839813,-165.62027,91948,76561198058500492,KSCERATO
False,4.895096,-166.58261,91949,76561198058500492,KSCERATO
False,5.004959,-167.51747,91950,76561198058500492,KSCERATO
False,5.1148224,-168.61748,91951,76561198058500492,KSCERATO
False,5.170105,-169.63509,91952,76561198058500492,KSCERATO
False,5.170105,-170.62488,91953,76561198058500492,KSCERATO
False,5.170105,-171.61502,91954,76561198058500492,KSCERATO
False,5.197571,-172.5499,91955,76561198058500492,KSCERATO
False,5.2250366,-173.51257,91956,76561198058500492,KSCERATO
False,5.3349,-174.64005,91957,76561198058500492,KSCERATO
False,5.3898315,-175.76752,91958,76561198058500492,KSCERATO
False,5.4172974,-176.59253,91959,76561198058500492,KSCERATO
False,5.4172974,-177.52739,91960,76561198058500492,KSCERATO
False,5.445099,-178.26999,91961,76561198058500492,KSCERATO
False,5.445099,-179.06754,91962,76561198058500492,KSCERATO
False,5.5000305,-179.89255,91963,76561198058500492,KSCERATO
False,5.5000305,179.06274,91964,76561198058500492,KSCERATO
False,5.5000305,178.1275,91965,76561198058500492,KSCERATO
False,5.4725647,177.27505,91966,76561198058500492,KSCERATO
False,5.3898315,176.45004,91967,76561198058500492,KSCERATO
False,5.307434,175.73523,91968,76561198058500492,KSCERATO
False,5.197571,174.96518,91969,76561198058500492,KSCERATO
False,5.0873566,174.3877,91970,76561198058500492,KSCERATO
False,4.9500275,173.86517,91971,76561198058500492,KSCERATO
False,4.895096,173.42502,91972,76561198058500492,KSCERATO
False,4.895096,172.9303,91973,76561198058500492,KSCERATO
False,4.9500275,172.35284,91974,76561198058500492,KSCERATO
False,5.004959,171.96762,91975,76561198058500492,KSCERATO
False,5.1148224,171.88522,91976,76561198058500492,KSCERATO
False,5.142288,171.91269,91977,76561198058500492,KSCERATO
False,5.142288,171.91269,91978,76561198058500492,KSCERATO
False,5.142288,171.91269,91979,76561198058500492,KSCERATO
False,5.142288,171.91269,91980,76561198058500492,KSCERATO
False,5.142288,171.91269,91981,76561198058500492,KSCERATO
False,5.142288,171.91269,91982,76561198058500492,KSCERATO
False,5.142288,171.91269,91983,76561198058500492,KSCERATO
False,5.142288,171.91269,91984,76561198058500492,KSCERATO
False,5.142288,171.91269,91985,76561198058500492,KSCERATO
False,5.142288,171.91269,91986,76561198058500492,KSCERATO
False,5.142288,171.91269,91987,76561198058500492,KSCERATO
False,5.142288,171.91269,91988,76561198058500492,KSCERATO
False,5.142288,171.91269,91989,76561198058500492,KSCERATO
False,5.142288,171.91269,91990,76561198058500492,KSCERATO
False,5.0873566,171.96762,91991,76561198058500492,KSCERATO
False,4.9225616,172.4627,91992,76561198058500492,KSCERATO
False,4.3725586,172.98523,91993,76561198058500492,KSCERATO
False,3.3000183,174.0303,91994,76561198058500492,KSCERATO
False,1.6500092,175.4053,91995,76561198058500492,KSCERATO
False,-0.6324005,177.05533,91996,76561198058500492,KSCERATO
False,-3.079956,178.67752,91997,76561198058500492,KSCERATO
False,-6.0774994,-179.50732,91998,76561198058500492,KSCERATO
False,-9.267654,-177.69218,91999,76561198058500492,KSCERATO
False,-13.007477,-175.65732,92000,76561198058500492,KSCERATO
False,-16.44516,-173.86996,92001,76561198058500492,KSCERATO
False,-20.597656,-171.89003,92002,76561198058500492,KSCERATO
False,-24.612457,-169.9925,92003,76561198058500492,KSCERATO
False,-28.297699,-168.1224,92004,76561198058500492,KSCERATO
False,-31.212494,-166.61008,92005,76561198058500492,KSCERATO
False,-33.33011,-165.565,92006,76561198058500492,KSCERATO
False,-34.842453,-164.90479,92007,76561198058500492,KSCERATO
False,-35.144928,-164.87732,92008,76561198058500492,KSCERATO
False,-35.144928,-164.87732,92009,76561198058500492,KSCERATO
False,-35.144928,-164.87732,92010,76561198058500492,KSCERATO
False,-35.144928,-164.87732,92011,76561198058500492,KSCERATO
False,-35.144928,-164.87732,92012,76561198058500492,KSCERATO
False,-35.144928,-164.87732,92013,76561198058500492,KSCERATO
False,-35.144928,-164.87732,92014,76561198058500492,KSCERATO
False,-35.144928,-164.87732,92015,76561198058500492,KSCERATO
False,-35.144928,-164.87732,92016,76561198058500492,KSCERATO
False,-35.144928,-164.87732,92017,76561198058500492,KSCERATO
False,-35.144928,-164.87732,92018,76561198058500492,KSCERATO
False,-35.144928,-164.87732,92019,76561198058500492,KSCERATO
False,-35.31006,-164.82239,92020,76561198058500492,KSCERATO
False,-35.61252,-164.57486,92021,76561198058500492,KSCERATO
False,-36.162537,-163.86005,92022,76561198058500492,KSCERATO
False,-36.850204,-163.06252,92023,76561198058500492,KSCERATO
False,-37.619934,-162.26498,92024,76561198058500492,KSCERATO
False,-38.36255,-161.63257,92025,76561198058500492,KSCERATO
False,-38.96747,-161.05476,92026,76561198058500492,KSCERATO
False,-39.407623,-160.56003,92027,76561198058500492,KSCERATO
False,-39.65515,-160.20264,92028,76561198058500492,KSCERATO
False,-39.710083,-160.09244,92029,76561198058500492,KSCERATO
False,-39.710083,-160.09244,92030,76561198058500492,KSCERATO
False,-39.710083,-160.09244,92031,76561198058500492,KSCERATO
False,-39.710083,-160.09244,92032,76561198058500492,KSCERATO
False,-39.710083,-160.09244,92033,76561198058500492,KSCERATO
False,-39.710083,-160.09244,92034,76561198058500492,KSCERATO
False,-39.710083,-160.09244,92035,76561198058500492,KSCERATO
