BACK,RIGHT,FORWARD,LEFT,tick,steamid,name
True,False,False,False,143522,76561197973140692,mezii
True,False,False,False,143523,76561197973140692,mezii
True,False,False,False,143524,76561197973140692,mezii
True,False,False,False,143525,76561197973140692,mezii
True,False,False,False,143526,76561197973140692,mezii
True,False,False,False,143527,76561197973140692,mezii
True,False,False,False,143528,76561197973140692,mezii
True,False,False,False,143529,76561197973140692,mezii
True,False,False,False,143530,76561197973140692,mezii
True,False,False,False,143531,76561197973140692,mezii
True,False,False,False,143532,76561197973140692,mezii
True,False,False,False,143533,76561197973140692,mezii
True,False,False,False,143534,76561197973140692,mezii
True,False,False,False,143535,76561197973140692,mezii
True,False,False,False,143536,76561197973140692,mezii
True,False,False,False,143537,76561197973140692,mezii
True,False,False,False,143538,76561197973140692,mezii
True,False,False,False,143539,76561197973140692,mezii
True,False,False,False,143540,76561197973140692,mezii
True,False,False,False,143541,76561197973140692,mezii
True,True,False,False,143542,76561197973140692,mezii
True,True,False,False,143543,76561197973140692,mezii
True,True,False,False,143544,76561197973140692,mezii
True,True,False,False,143545,76561197973140692,mezii
True,True,False,False,143546,76561197973140692,mezii
True,True,False,False,143547,76561197973140692,mezii
True,True,False,False,143548,76561197973140692,mezii
True,True,False,False,143549,76561197973140692,mezii
True,True,False,False,143550,76561197973140692,mezii
True,True,False,False,143551,76561197973140692,mezii
True,True,False,False,143552,76561197973140692,mezii
True,True,False,False,143553,76561197973140692,mezii
True,True,False,False,143554,76561197973140692,mezii
True,True,False,False,143555,76561197973140692,mezii
True,True,False,False,143556,76561197973140692,mezii
True,True,False,False,143557,76561197973140692,mezii
True,True,False,False,143558,76561197973140692,mezii
True,True,True,False,143559,76561197973140692,mezii
True,True,True,False,143560,76561197973140692,mezii
True,True,True,False,143561,76561197973140692,mezii
False,True,True,False,143562,76561197973140692,mezii
False,True,True,False,143563,76561197973140692,mezii
False,True,True,False,143564,76561197973140692,mezii
False,True,True,False,143565,76561197973140692,mezii
False,True,True,False,143566,76561197973140692,mezii
False,True,True,False,143567,76561197973140692,mezii
False,True,True,False,143568,76561197973140692,mezii
False,True,True,False,143569,76561197973140692,mezii
False,True,True,False,143570,76561197973140692,mezii
